Elevation,Q
833.87211,5218.836
834.394,8222.56
833.90671,5581.22
833.9085,5949.41
838.1439,45895
835.9257069,20310
836.4091905,24878
836.7007143,27792
836.1274,21600
836.0444125,20788
836.00588,20751
836.0643448,20974
836.0395313,20937
836.9689143,30662
836.1830392,22452
835.7169444,17915
835.6557,17070
835.8775,19723
834.4499,8210
834.4768,8415
834.4789016,8320
837.0090968,31087
835.0631765,12721
834.71175,10175
837.87325,41977
834.9039756,11400
835.1061,13000
835.0230455,12400
834.7506479,10200
835.4928462,16400
834.473,8000
